"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 03 17:44:49 IST 2022","Thu Nov 03 17:44:50 IST 2022","1023","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""working out at home""",""
"failed","Thu Nov 03 17:38:01 IST 2022","Thu Nov 03 17:38:10 IST 2022","8358","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""black""",""
"failed","Thu Nov 03 17:43:27 IST 2022","Thu Nov 03 17:43:34 IST 2022","7396","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""spinning""",""
"failed","Thu Nov 03 17:41:14 IST 2022","Thu Nov 03 17:41:16 IST 2022","1876","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""innocent""",""
"passed","Thu Nov 03 17:37:42 IST 2022","Thu Nov 03 17:37:51 IST 2022","8711","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""beauty shot""",""
"failed","Thu Nov 03 17:41:13 IST 2022","Thu Nov 03 17:41:14 IST 2022","500","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""humanity""",""
"passed","Thu Nov 03 17:27:26 IST 2022","Thu Nov 03 17:27:38 IST 2022","11863","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""dramatic""",""
"failed","Thu Nov 03 17:35:38 IST 2022","Thu Nov 03 17:35:40 IST 2022","2303","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""vibing - slang""",""
"passed","Thu Nov 03 17:27:14 IST 2022","Thu Nov 03 17:27:23 IST 2022","9146","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""documentary of domestic animals""",""
"failed","Thu Nov 03 17:44:09 IST 2022","Thu Nov 03 17:44:11 IST 2022","2724","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""the big bang""",""
"passed","Thu Nov 03 17:28:09 IST 2022","Thu Nov 03 17:28:18 IST 2022","8971","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""egg white""",""
"passed","Thu Nov 03 17:43:43 IST 2022","Thu Nov 03 17:43:51 IST 2022","8552","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""subway""",""
"failed","Thu Nov 03 17:26:45 IST 2022","Thu Nov 03 17:26:53 IST 2022","8114","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""coffee berries""",""
"passed","Thu Nov 03 17:33:57 IST 2022","Thu Nov 03 17:34:07 IST 2022","10399","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""stunning view/scenery""",""
"passed","Thu Nov 03 17:36:03 IST 2022","Thu Nov 03 17:36:13 IST 2022","10291","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""wind blowing""",""
"failed","Thu Nov 03 17:41:37 IST 2022","Thu Nov 03 17:41:38 IST 2022","684","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""melting statue""",""
"passed","Thu Nov 03 17:34:49 IST 2022","Thu Nov 03 17:34:58 IST 2022","9105","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""techno""",""
"passed","Thu Nov 03 17:25:04 IST 2022","Thu Nov 03 17:25:07 IST 2022","2519","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""big size model""",""
"passed","Thu Nov 03 17:27:12 IST 2022","Thu Nov 03 17:27:14 IST 2022","2243","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""divine""",""
"failed","Thu Nov 03 17:44:50 IST 2022","Thu Nov 03 17:44:52 IST 2022","2186","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""yellow cab""",""
"passed","Thu Nov 03 17:30:14 IST 2022","Thu Nov 03 17:30:25 IST 2022","10825","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""homeless""",""
"passed","Thu Nov 03 17:28:49 IST 2022","Thu Nov 03 17:28:59 IST 2022","9636","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""feeling""",""
"failed","Thu Nov 03 17:43:16 IST 2022","Thu Nov 03 17:43:25 IST 2022","8694","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""space""",""
"passed","Thu Nov 03 17:35:04 IST 2022","Thu Nov 03 17:35:12 IST 2022","8383","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""the big bang""",""
"passed","Thu Nov 03 17:38:55 IST 2022","Thu Nov 03 17:39:03 IST 2022","7876","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""climate change""",""
"failed","Thu Nov 03 17:32:10 IST 2022","Thu Nov 03 17:32:12 IST 2022","2327","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""pop colture""",""
"failed","Thu Nov 03 17:35:24 IST 2022","Thu Nov 03 17:35:25 IST 2022","1020","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""time""",""
"passed","Thu Nov 03 17:42:00 IST 2022","Thu Nov 03 17:42:08 IST 2022","7763","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""muscle""",""
"failed","Thu Nov 03 17:40:34 IST 2022","Thu Nov 03 17:40:35 IST 2022","819","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""goofing around  - slang""",""
"passed","Thu Nov 03 17:32:12 IST 2022","Thu Nov 03 17:32:22 IST 2022","10625","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""powerful""",""
"passed","Thu Nov 03 17:35:48 IST 2022","Thu Nov 03 17:35:59 IST 2022","10685","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""wandering city""",""
"passed","Thu Nov 03 17:34:07 IST 2022","Thu Nov 03 17:34:18 IST 2022","10921","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""subway""",""
"failed","Thu Nov 03 17:37:32 IST 2022","Thu Nov 03 17:37:33 IST 2022","1609","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""authentic style""",""
"passed","Thu Nov 03 17:37:18 IST 2022","Thu Nov 03 17:37:27 IST 2022","9451","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""youtube""",""
"passed","Thu Nov 03 17:24:19 IST 2022","Thu Nov 03 17:24:23 IST 2022","3704","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""authentic style""",""
"failed","Thu Nov 03 17:44:08 IST 2022","Thu Nov 03 17:44:09 IST 2022","491","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""tecnology""",""
"passed","Thu Nov 03 17:26:25 IST 2022","Thu Nov 03 17:26:35 IST 2022","9900","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""cinematic shot""",""
"passed","Thu Nov 03 17:29:43 IST 2022","Thu Nov 03 17:29:53 IST 2022","10312","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""green leaves""",""
"failed","Thu Nov 03 17:40:22 IST 2022","Thu Nov 03 17:40:25 IST 2022","3754","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""gender fluid""",""
"passed","Thu Nov 03 17:32:50 IST 2022","Thu Nov 03 17:32:53 IST 2022","2373","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""scorsese""",""
"passed","Thu Nov 03 17:26:53 IST 2022","Thu Nov 03 17:27:03 IST 2022","10003","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""commercial vibe""",""
